idCinema;nom;adresse;nbSalles;nbFauteuils
233;LA FAUVETTE;21 AV DANIEL PERDRIGE;1;146
234;LE VILLAGE I;4 RUE DE CHEZY;2;500
235;ROYAL PALACE;165 GRANDE RUE CHARLES DE GAULLE;6;815
236;LA FERME DU BUISSON SALLE;ALLEE DE LA FERME;1;221
237;UGC CINE CITE;CENTRE COMMERCIAL LES ARCADES;10;1797
238;LE BIJOU;PLACE DE LA LIBERATION;3;416
239;SALLE ARAGON;1 PLACE DU FER A CHEVAL;1;388
240;CENTRE CULTUREL  ORMESSON;22 AV WLADIMIR D ORMESSON;1;358
241;SALLE JACQUES TATI  BOUVECHE;14 AVENUE SAINT LAURENT;2;279
242;LE PIERRE BRASSEUR;103 AV DU GENERAL DE GAULLE;1;171
243;CINEPAL;AVENUE DU 8 MAI 1945;4;545
244;CINE 104;104 AV JEAN LOLIVE;3;457
245;SALLE DES FETES;1, RUE ALSACE-LORRAINE;1;314
246;ESPACE DES ARTS;PLACE CHARLES DE GAULLE;1;329
247;CENTRE DES BORDS DE MARNE;2 RUE DE LA PRAIRIE;1;198
248;CINEMA DE LA MAISON DES ARTS;1 PLACE JANE RHODES;2;400
249;ESPACE PAUL VALERY;72 ET 74 AVENUE ARDOUIN;1;340
250;C 2 L;18 RUE CHARLES DE GAULLE;5;983
251;APOLLO;62 AVENUE DE LA REPUBLIQUE;2;295
252;ROYAL UTOPIA;14 RUE ALEXANDRE PRACHAY;1;272
253;LE REXY;QUARTIER DELORT;4;570
254;UGC CINE CITE LA DEFENSE;LE DOME;16;3642
255;LE CENTRAL;134 RUE DE LA REPUBLIQUE;2;480
256;VOX ODEON;71 RUE DU GENERAL DE GAULLE;2;320
257;CINOCHE;ALLEE JEAN WIENER;3;709
258;CINOCHE 4;AVENUE DE LA LIBERATION;1;291
259;LA GRANGE;FERME DE L'AYAU;1;192
260;LE TRIANON;PL CARNOT ET 1 RUE ETIENNE DOLET;1;436
261;UGC CINE CITE ROSNY;16 RUE CONRAD ADENAUER;15;3324
262;ESPACE GEORGES SIMENON (EX-TRIANON);PLACE CARNOT;1;229
263;ARIEL;99 AVENUE PAUL DOUMER;3;689
264;ARIEL HAUTS DE RUEIL;59 AVENUE DE FOUILLEUSE;3;688
265;C2L CIN'HOCHE;6 RUE HOCHE;5;436
266;ESPACE PREVERT;QUARTIER DU PLESSIS LE ROI;1;390
